"ISO3","Area","Country Group","UN Region","EBRD Region","cpc_name1","Element","Unit","Year","value","Item","grouped"
"NCL","New Caledonia","Melanesia","Melanesia",NA,"Edible roots and tubers with high starch or inulin content","Production","t",1996,13455.32,NA,"yes"
"NCL","New Caledonia","Melanesia","Melanesia",NA,"Edible roots and tubers with high starch or inulin content","Production","t",1997,5325,NA,"yes"
"NCL","New Caledonia","Melanesia","Melanesia",NA,"Edible roots and tubers with high starch or inulin content","Production","t",1998,6891.59,NA,"yes"
"NCL","New Caledonia","Melanesia","Melanesia",NA,"Edible roots and tubers with high starch or inulin content","Production","t",1999,6631.4400000000005,NA,"yes"
"NCL","New Caledonia","Melanesia","Melanesia",NA,"Edible roots and tubers with high starch or inulin content","Production","t",2000,6115.820000000001,NA,"yes"
"NCL","New Caledonia","Melanesia","Melanesia",NA,"Edible roots and tubers with high starch or inulin content","Production","t",2001,6534.17,NA,"yes"
"NCL","New Caledonia","Melanesia","Melanesia",NA,"Edible roots and tubers with high starch or inulin content","Production","t",2002,6673.11,NA,"yes"
"NCL","New Caledonia","Melanesia","Melanesia",NA,"Edible roots and tubers with high starch or inulin content","Production","t",2003,4974.7,NA,"yes"
"NCL","New Caledonia","Melanesia","Melanesia",NA,"Edible roots and tubers with high starch or inulin content","Production","t",2004,6153.6,NA,"yes"
"NCL","New Caledonia","Melanesia","Melanesia",NA,"Edible roots and tubers with high starch or inulin content","Production","t",2005,7010,NA,"yes"
"NCL","New Caledonia","Melanesia","Melanesia",NA,"Edible roots and tubers with high starch or inulin content","Production","t",2006,6924,NA,"yes"
"NCL","New Caledonia","Melanesia","Melanesia",NA,"Edible roots and tubers with high starch or inulin content","Production","t",2007,4409,NA,"yes"
"NCL","New Caledonia","Melanesia","Melanesia",NA,"Edible roots and tubers with high starch or inulin content","Production","t",2008,6583,NA,"yes"
"NCL","New Caledonia","Melanesia","Melanesia",NA,"Edible roots and tubers with high starch or inulin content","Production","t",2009,6205,NA,"yes"
"NCL","New Caledonia","Melanesia","Melanesia",NA,"Edible roots and tubers with high starch or inulin content","Production","t",2010,5392,NA,"yes"
"NCL","New Caledonia","Melanesia","Melanesia",NA,"Edible roots and tubers with high starch or inulin content","Production","t",2011,4617,NA,"yes"
"NCL","New Caledonia","Melanesia","Melanesia",NA,"Edible roots and tubers with high starch or inulin content","Production","t",2012,5621,NA,"yes"
"NCL","New Caledonia","Melanesia","Melanesia",NA,"Edible roots and tubers with high starch or inulin content","Production","t",2013,3039,NA,"yes"
"NCL","New Caledonia","Melanesia","Melanesia",NA,"Edible roots and tubers with high starch or inulin content","Production","t",2014,4871,NA,"yes"
"NCL","New Caledonia","Melanesia","Melanesia",NA,"Edible roots and tubers with high starch or inulin content","Production","t",2015,4393.8,NA,"yes"
"NCL","New Caledonia","Melanesia","Melanesia",NA,"Edible roots and tubers with high starch or inulin content","Production","t",2016,5392.799999999999,NA,"yes"
"NCL","New Caledonia","Melanesia","Melanesia",NA,"Edible roots and tubers with high starch or inulin content","Production","t",2017,5967.5,NA,"yes"
"NCL","New Caledonia","Melanesia","Melanesia",NA,"Edible roots and tubers with high starch or inulin content","Production","t",2018,6500.4,NA,"yes"
"NCL","New Caledonia","Melanesia","Melanesia",NA,"Edible roots and tubers with high starch or inulin content","Production","t",2019,6397.7,NA,"yes"
"NCL","New Caledonia","Melanesia","Melanesia",NA,"Edible roots and tubers with high starch or inulin content","Production","t",2020,6655.5,NA,"yes"
"NCL","New Caledonia","Melanesia","Melanesia",NA,"Edible roots and tubers with high starch or inulin content","Production","t",2021,6142.18,NA,"yes"
"NCL","New Caledonia","Melanesia","Melanesia",NA,"Edible roots and tubers with high starch or inulin content","Production","t",2022,4151.91,NA,"yes"
"NCL","New Caledonia","Melanesia","Melanesia",NA,"Edible roots and tubers with high starch or inulin content","Production","t",2023,4411.99,NA,"yes"
"NCL","New Caledonia","Melanesia","Melanesia",NA,"Edible roots and tubers with high starch or inulin content","Yield","kg/ha",1992,42737.299999999996,NA,"yes"
"NCL","New Caledonia","Melanesia","Melanesia",NA,"Edible roots and tubers with high starch or inulin content","Yield","kg/ha",1993,35319.4,NA,"yes"
"NCL","New Caledonia","Melanesia","Melanesia",NA,"Edible roots and tubers with high starch or inulin content","Yield","kg/ha",1994,38850.3,NA,"yes"
"NCL","New Caledonia","Melanesia","Melanesia",NA,"Edible roots and tubers with high starch or inulin content","Yield","kg/ha",1995,37744,NA,"yes"
"NCL","New Caledonia","Melanesia","Melanesia",NA,"Edible roots and tubers with high starch or inulin content","Yield","kg/ha",1996,35635.700000000004,NA,"yes"
"NCL","New Caledonia","Melanesia","Melanesia",NA,"Edible roots and tubers with high starch or inulin content","Yield","kg/ha",1997,32793.3,NA,"yes"
"NCL","New Caledonia","Melanesia","Melanesia",NA,"Edible roots and tubers with high starch or inulin content","Yield","kg/ha",1998,28086.6,NA,"yes"
"NCL","New Caledonia","Melanesia","Melanesia",NA,"Edible roots and tubers with high starch or inulin content","Yield","kg/ha",1999,25602.5,NA,"yes"
"NCL","New Caledonia","Melanesia","Melanesia",NA,"Edible roots and tubers with high starch or inulin content","Yield","kg/ha",2000,24871,NA,"yes"
"NCL","New Caledonia","Melanesia","Melanesia",NA,"Edible roots and tubers with high starch or inulin content","Yield","kg/ha",2001,23618.8,NA,"yes"
"NCL","New Caledonia","Melanesia","Melanesia",NA,"Edible roots and tubers with high starch or inulin content","Yield","kg/ha",2002,22298.2,NA,"yes"
"NCL","New Caledonia","Melanesia","Melanesia",NA,"Edible roots and tubers with high starch or inulin content","Yield","kg/ha",2003,21802.6,NA,"yes"
"NCL","New Caledonia","Melanesia","Melanesia",NA,"Edible roots and tubers with high starch or inulin content","Yield","kg/ha",2004,24747,NA,"yes"
"NCL","New Caledonia","Melanesia","Melanesia",NA,"Edible roots and tubers with high starch or inulin content","Yield","kg/ha",2005,23044.3,NA,"yes"
"NCL","New Caledonia","Melanesia","Melanesia",NA,"Edible roots and tubers with high starch or inulin content","Yield","kg/ha",2006,28095.9,NA,"yes"
"NCL","New Caledonia","Melanesia","Melanesia",NA,"Edible roots and tubers with high starch or inulin content","Yield","kg/ha",2007,14483.6,NA,"yes"
"NCL","New Caledonia","Melanesia","Melanesia",NA,"Edible roots and tubers with high starch or inulin content","Yield","kg/ha",2008,23419.6,NA,"yes"
"NCL","New Caledonia","Melanesia","Melanesia",NA,"Edible roots and tubers with high starch or inulin content","Yield","kg/ha",2009,24266.8,NA,"yes"
"NCL","New Caledonia","Melanesia","Melanesia",NA,"Edible roots and tubers with high starch or inulin content","Yield","kg/ha",2010,20869.5,NA,"yes"
"NCL","New Caledonia","Melanesia","Melanesia",NA,"Edible roots and tubers with high starch or inulin content","Yield","kg/ha",2011,19775.5,NA,"yes"
"NCL","New Caledonia","Melanesia","Melanesia",NA,"Edible roots and tubers with high starch or inulin content","Yield","kg/ha",2012,22322.7,NA,"yes"
"NCL","New Caledonia","Melanesia","Melanesia",NA,"Edible roots and tubers with high starch or inulin content","Yield","kg/ha",2013,15970.8,NA,"yes"
"NCL","New Caledonia","Melanesia","Melanesia",NA,"Edible roots and tubers with high starch or inulin content","Yield","kg/ha",2014,18030.2,NA,"yes"
"NCL","New Caledonia","Melanesia","Melanesia",NA,"Edible roots and tubers with high starch or inulin content","Yield","kg/ha",2015,19498.2,NA,"yes"
"NCL","New Caledonia","Melanesia","Melanesia",NA,"Edible roots and tubers with high starch or inulin content","Yield","kg/ha",2016,19361.1,NA,"yes"
"NCL","New Caledonia","Melanesia","Melanesia",NA,"Edible roots and tubers with high starch or inulin content","Yield","kg/ha",2017,18975.4,NA,"yes"
