"ISO3","Area","Country Group","cpc_name1","Element","Unit","Year","value","Item","grouped"
"JPN","Japan","Eastern Asia","Eggs of hens or other birds in shell, fresh","Production","1000 No",1992,42150000,NA,"yes"
"JPN","Japan","Eastern Asia","Eggs of hens or other birds in shell, fresh","Production","1000 No",1993,42540000,NA,"yes"
"JPN","Japan","Eastern Asia","Eggs of hens or other birds in shell, fresh","Production","1000 No",1994,43047000,NA,"yes"
"JPN","Japan","Eastern Asia","Eggs of hens or other birds in shell, fresh","Production","1000 No",1995,42480000,NA,"yes"
"JPN","Japan","Eastern Asia","Eggs of hens or other birds in shell, fresh","Production","1000 No",1996,42738000,NA,"yes"
"JPN","Japan","Eastern Asia","Eggs of hens or other birds in shell, fresh","Production","1000 No",1997,42887000,NA,"yes"
"JPN","Japan","Eastern Asia","Eggs of hens or other birds in shell, fresh","Production","1000 No",1998,42267000,NA,"yes"
"JPN","Japan","Eastern Asia","Eggs of hens or other birds in shell, fresh","Production","1000 No",1999,42324000,NA,"yes"
"JPN","Japan","Eastern Asia","Eggs of hens or other birds in shell, fresh","Production","1000 No",2000,42257000,NA,"yes"
"JPN","Japan","Eastern Asia","Eggs of hens or other birds in shell, fresh","Production","1000 No",2001,41985000,NA,"yes"
"JPN","Japan","Eastern Asia","Eggs of hens or other birds in shell, fresh","Production","1000 No",2002,42157000,NA,"yes"
"JPN","Japan","Eastern Asia","Eggs of hens or other birds in shell, fresh","Production","1000 No",2003,42173000,NA,"yes"
"JPN","Japan","Eastern Asia","Eggs of hens or other birds in shell, fresh","Production","1000 No",2004,41346000,NA,"yes"
"JPN","Japan","Eastern Asia","Eggs of hens or other birds in shell, fresh","Production","1000 No",2005,41377000,NA,"yes"
"JPN","Japan","Eastern Asia","Eggs of hens or other birds in shell, fresh","Production","1000 No",2006,41611000,NA,"yes"
"JPN","Japan","Eastern Asia","Eggs of hens or other birds in shell, fresh","Production","1000 No",2007,43050000,NA,"yes"
"JPN","Japan","Eastern Asia","Eggs of hens or other birds in shell, fresh","Production","1000 No",2008,42566668,NA,"yes"
"JPN","Japan","Eastern Asia","Eggs of hens or other birds in shell, fresh","Production","1000 No",2009,41750000,NA,"yes"
"JPN","Japan","Eastern Asia","Eggs of hens or other birds in shell, fresh","Production","1000 No",2010,41900000,NA,"yes"
"JPN","Japan","Eastern Asia","Eggs of hens or other birds in shell, fresh","Production","1000 No",2011,41377000,NA,"yes"
"JPN","Japan","Eastern Asia","Eggs of hens or other birds in shell, fresh","Production","1000 No",2012,41779952,NA,"yes"
"JPN","Japan","Eastern Asia","Eggs of hens or other birds in shell, fresh","Production","1000 No",2013,42032900,NA,"yes"
"JPN","Japan","Eastern Asia","Eggs of hens or other birds in shell, fresh","Production","1000 No",2014,41698683,NA,"yes"
"JPN","Japan","Eastern Asia","Eggs of hens or other birds in shell, fresh","Production","1000 No",2015,42014550,NA,"yes"
"JPN","Japan","Eastern Asia","Eggs of hens or other birds in shell, fresh","Production","1000 No",2016,42704050,NA,"yes"
"JPN","Japan","Eastern Asia","Eggs of hens or other birds in shell, fresh","Production","1000 No",2017,43352883,NA,"yes"
"JPN","Japan","Eastern Asia","Eggs of hens or other birds in shell, fresh","Production","1000 No",2018,43796067,NA,"yes"
"JPN","Japan","Eastern Asia","Eggs of hens or other birds in shell, fresh","Production","1000 No",2019,43995550,NA,"yes"
"JPN","Japan","Eastern Asia","Eggs of hens or other birds in shell, fresh","Production","1000 No",2020,43881367,NA,"yes"
"JPN","Japan","Eastern Asia","Eggs of hens or other birds in shell, fresh","Production","1000 No",2021,42904250,NA,"yes"
"JPN","Japan","Eastern Asia","Eggs of hens or other birds in shell, fresh","Production","1000 No",2022,43278750,NA,"yes"
"JPN","Japan","Eastern Asia","Eggs of hens or other birds in shell, fresh","Production","1000 No",2023,40629550,NA,"yes"
"JPN","Japan","Eastern Asia","Eggs of hens or other birds in shell, fresh","Production","t",1992,2571443,NA,"yes"
"JPN","Japan","Eastern Asia","Eggs of hens or other birds in shell, fresh","Production","t",1993,2597684,NA,"yes"
"JPN","Japan","Eastern Asia","Eggs of hens or other birds in shell, fresh","Production","t",1994,2569400,NA,"yes"
"JPN","Japan","Eastern Asia","Eggs of hens or other birds in shell, fresh","Production","t",1995,2548827,NA,"yes"
"JPN","Japan","Eastern Asia","Eggs of hens or other birds in shell, fresh","Production","t",1996,2564303,NA,"yes"
"JPN","Japan","Eastern Asia","Eggs of hens or other birds in shell, fresh","Production","t",1997,2573211,NA,"yes"
"JPN","Japan","Eastern Asia","Eggs of hens or other birds in shell, fresh","Production","t",1998,2536035,NA,"yes"
