"ISO3","Area","Country Group","cpc_name1","Element","Unit","Year","value","Item","grouped"
"NOR","Norway","Northern Europe","Eggs of hens or other birds in shell, fresh","Production","1000 No",2000,781300,NA,"yes"
"NOR","Norway","Northern Europe","Eggs of hens or other birds in shell, fresh","Production","1000 No",2001,796000,NA,"yes"
"NOR","Norway","Northern Europe","Eggs of hens or other birds in shell, fresh","Production","1000 No",2002,790966,NA,"yes"
"NOR","Norway","Northern Europe","Eggs of hens or other birds in shell, fresh","Production","1000 No",2003,837300,NA,"yes"
"NOR","Norway","Northern Europe","Eggs of hens or other birds in shell, fresh","Production","1000 No",2004,873500,NA,"yes"
"NOR","Norway","Northern Europe","Eggs of hens or other birds in shell, fresh","Production","1000 No",2005,845000,NA,"yes"
"NOR","Norway","Northern Europe","Eggs of hens or other birds in shell, fresh","Production","1000 No",2006,846900,NA,"yes"
"NOR","Norway","Northern Europe","Eggs of hens or other birds in shell, fresh","Production","1000 No",2007,880500,NA,"yes"
"NOR","Norway","Northern Europe","Eggs of hens or other birds in shell, fresh","Production","1000 No",2008,933500,NA,"yes"
"NOR","Norway","Northern Europe","Eggs of hens or other birds in shell, fresh","Production","1000 No",2009,979000,NA,"yes"
"NOR","Norway","Northern Europe","Eggs of hens or other birds in shell, fresh","Production","1000 No",2010,999660,NA,"yes"
"NOR","Norway","Northern Europe","Eggs of hens or other birds in shell, fresh","Production","1000 No",2011,988700,NA,"yes"
"NOR","Norway","Northern Europe","Eggs of hens or other birds in shell, fresh","Production","1000 No",2012,1039400,NA,"yes"
"NOR","Norway","Northern Europe","Eggs of hens or other birds in shell, fresh","Production","1000 No",2013,1093800,NA,"yes"
"NOR","Norway","Northern Europe","Eggs of hens or other birds in shell, fresh","Production","1000 No",2014,1111046,NA,"yes"
"NOR","Norway","Northern Europe","Eggs of hens or other birds in shell, fresh","Production","1000 No",2015,1122696,NA,"yes"
"NOR","Norway","Northern Europe","Eggs of hens or other birds in shell, fresh","Production","1000 No",2016,1122696,NA,"yes"
"NOR","Norway","Northern Europe","Eggs of hens or other birds in shell, fresh","Production","1000 No",2017,1164850,NA,"yes"
"NOR","Norway","Northern Europe","Eggs of hens or other birds in shell, fresh","Production","1000 No",2018,1185783,NA,"yes"
"NOR","Norway","Northern Europe","Eggs of hens or other birds in shell, fresh","Production","1000 No",2019,1225183,NA,"yes"
"NOR","Norway","Northern Europe","Eggs of hens or other birds in shell, fresh","Production","1000 No",2020,1218617,NA,"yes"
"NOR","Norway","Northern Europe","Eggs of hens or other birds in shell, fresh","Production","1000 No",2021,1225167,NA,"yes"
"NOR","Norway","Northern Europe","Eggs of hens or other birds in shell, fresh","Production","1000 No",2022,1233800,NA,"yes"
"NOR","Norway","Northern Europe","Eggs of hens or other birds in shell, fresh","Production","1000 No",2023,1221717,NA,"yes"
"NOR","Norway","Northern Europe","Eggs of hens or other birds in shell, fresh","Production","t",1992,50866,NA,"yes"
"NOR","Norway","Northern Europe","Eggs of hens or other birds in shell, fresh","Production","t",1993,51300,NA,"yes"
"NOR","Norway","Northern Europe","Eggs of hens or other birds in shell, fresh","Production","t",1994,51537,NA,"yes"
"NOR","Norway","Northern Europe","Eggs of hens or other birds in shell, fresh","Production","t",1995,49276,NA,"yes"
"NOR","Norway","Northern Europe","Eggs of hens or other birds in shell, fresh","Production","t",1996,49296,NA,"yes"
"NOR","Norway","Northern Europe","Eggs of hens or other birds in shell, fresh","Production","t",1997,48955,NA,"yes"
"NOR","Norway","Northern Europe","Eggs of hens or other birds in shell, fresh","Production","t",1998,47382,NA,"yes"
"NOR","Norway","Northern Europe","Eggs of hens or other birds in shell, fresh","Production","t",1999,47705,NA,"yes"
"NOR","Norway","Northern Europe","Eggs of hens or other birds in shell, fresh","Production","t",2000,47786,NA,"yes"
"NOR","Norway","Northern Europe","Eggs of hens or other birds in shell, fresh","Production","t",2001,47760,NA,"yes"
"NOR","Norway","Northern Europe","Eggs of hens or other birds in shell, fresh","Production","t",2002,47841,NA,"yes"
"NOR","Norway","Northern Europe","Eggs of hens or other birds in shell, fresh","Production","t",2003,50239,NA,"yes"
"NOR","Norway","Northern Europe","Eggs of hens or other birds in shell, fresh","Production","t",2004,52414,NA,"yes"
"NOR","Norway","Northern Europe","Eggs of hens or other birds in shell, fresh","Production","t",2005,50702,NA,"yes"
