"ISO3","Area","Country Group","UN Region","EBRD Region","type","Item","unit","year","value","cpc_group","isscaap","grouped"
"AUS","Australia","Australia and New Zealand","Australia and New Zealand",NA,"CAPTURE","Aquatic invertebrates","Q_tlw",2005,120.289,NA,NA,"yes"
"AUS","Australia","Australia and New Zealand","Australia and New Zealand",NA,"CAPTURE","Aquatic invertebrates","Q_tlw",2006,87,NA,NA,"yes"
"AUS","Australia","Australia and New Zealand","Australia and New Zealand",NA,"CAPTURE","Aquatic invertebrates","Q_tlw",2007,94.317,NA,NA,"yes"
"AUS","Australia","Australia and New Zealand","Australia and New Zealand",NA,"CAPTURE","Aquatic invertebrates","Q_tlw",2008,294.701,NA,NA,"yes"
"AUS","Australia","Australia and New Zealand","Australia and New Zealand",NA,"CAPTURE","Aquatic invertebrates","Q_tlw",2009,206.493,NA,NA,"yes"
"AUS","Australia","Australia and New Zealand","Australia and New Zealand",NA,"CAPTURE","Aquatic invertebrates","Q_tlw",2010,193.065,NA,NA,"yes"
"AUS","Australia","Australia and New Zealand","Australia and New Zealand",NA,"CAPTURE","Aquatic invertebrates","Q_tlw",2011,134.018,NA,NA,"yes"
"AUS","Australia","Australia and New Zealand","Australia and New Zealand",NA,"CAPTURE","Aquatic invertebrates","Q_tlw",2012,65.267,NA,NA,"yes"
"AUS","Australia","Australia and New Zealand","Australia and New Zealand",NA,"CAPTURE","Aquatic invertebrates","Q_tlw",2013,44.371,NA,NA,"yes"
"AUS","Australia","Australia and New Zealand","Australia and New Zealand",NA,"CAPTURE","Aquatic invertebrates","Q_tlw",2014,79.636,NA,NA,"yes"
"AUS","Australia","Australia and New Zealand","Australia and New Zealand",NA,"CAPTURE","Aquatic invertebrates","Q_tlw",2015,61.51,NA,NA,"yes"
"AUS","Australia","Australia and New Zealand","Australia and New Zealand",NA,"CAPTURE","Aquatic invertebrates","Q_tlw",2016,69.946,NA,NA,"yes"
"AUS","Australia","Australia and New Zealand","Australia and New Zealand",NA,"CAPTURE","Aquatic invertebrates","Q_tlw",2017,150.717,NA,NA,"yes"
"AUS","Australia","Australia and New Zealand","Australia and New Zealand",NA,"CAPTURE","Aquatic invertebrates","Q_tlw",2018,166.54099999999997,NA,NA,"yes"
"AUS","Australia","Australia and New Zealand","Australia and New Zealand",NA,"CAPTURE","Aquatic invertebrates","Q_tlw",2019,76.923,NA,NA,"yes"
"AUS","Australia","Australia and New Zealand","Australia and New Zealand",NA,"CAPTURE","Aquatic invertebrates","Q_tlw",2020,9132.077,NA,NA,"yes"
"AUS","Australia","Australia and New Zealand","Australia and New Zealand",NA,"CAPTURE","Aquatic invertebrates","Q_tlw",2021,660.047,NA,NA,"yes"
"AUS","Australia","Australia and New Zealand","Australia and New Zealand",NA,"CAPTURE","Aquatic invertebrates","Q_tlw",2022,735.589,NA,NA,"yes"
"AUS","Australia","Australia and New Zealand","Australia and New Zealand",NA,"CAPTURE","Aquatic plants","Q_tlw",1992,16108,NA,NA,"yes"
"AUS","Australia","Australia and New Zealand","Australia and New Zealand",NA,"CAPTURE","Aquatic plants","Q_tlw",1993,18275,NA,NA,"yes"
"AUS","Australia","Australia and New Zealand","Australia and New Zealand",NA,"CAPTURE","Aquatic plants","Q_tlw",1994,17519,NA,NA,"yes"
"AUS","Australia","Australia and New Zealand","Australia and New Zealand",NA,"CAPTURE","Aquatic plants","Q_tlw",1995,22316,NA,NA,"yes"
"AUS","Australia","Australia and New Zealand","Australia and New Zealand",NA,"CAPTURE","Aquatic plants","Q_tlw",1996,18570,NA,NA,"yes"
"AUS","Australia","Australia and New Zealand","Australia and New Zealand",NA,"CAPTURE","Aquatic plants","Q_tlw",1997,21152,NA,NA,"yes"
"AUS","Australia","Australia and New Zealand","Australia and New Zealand",NA,"CAPTURE","Aquatic plants","Q_tlw",1998,20811,NA,NA,"yes"
"AUS","Australia","Australia and New Zealand","Australia and New Zealand",NA,"CAPTURE","Aquatic plants","Q_tlw",1999,20774,NA,NA,"yes"
"AUS","Australia","Australia and New Zealand","Australia and New Zealand",NA,"CAPTURE","Aquatic plants","Q_tlw",2000,13650,NA,NA,"yes"
"AUS","Australia","Australia and New Zealand","Australia and New Zealand",NA,"CAPTURE","Aquatic plants","Q_tlw",2001,13547,NA,NA,"yes"
"AUS","Australia","Australia and New Zealand","Australia and New Zealand",NA,"CAPTURE","Aquatic plants","Q_tlw",2002,9916,NA,NA,"yes"
"AUS","Australia","Australia and New Zealand","Australia and New Zealand",NA,"CAPTURE","Aquatic plants","Q_tlw",2003,8879,NA,NA,"yes"
"AUS","Australia","Australia and New Zealand","Australia and New Zealand",NA,"CAPTURE","Aquatic plants","Q_tlw",2004,12570,NA,NA,"yes"
"AUS","Australia","Australia and New Zealand","Australia and New Zealand",NA,"CAPTURE","Aquatic plants","Q_tlw",2005,14167,NA,NA,"yes"
"AUS","Australia","Australia and New Zealand","Australia and New Zealand",NA,"CAPTURE","Aquatic plants","Q_tlw",2006,15504,NA,NA,"yes"
"AUS","Australia","Australia and New Zealand","Australia and New Zealand",NA,"CAPTURE","Aquatic plants","Q_tlw",2007,2223,NA,NA,"yes"
"AUS","Australia","Australia and New Zealand","Australia and New Zealand",NA,"CAPTURE","Aquatic plants","Q_tlw",2008,1923,NA,NA,"yes"
"AUS","Australia","Australia and New Zealand","Australia and New Zealand",NA,"CAPTURE","Aquatic plants","Q_tlw",2009,1923,NA,NA,"yes"
