"ISO3","Area","Country Group","UN Region","EBRD Region","type","Item","unit","year","value","cpc_group","isscaap","grouped"
NA,"World",NA,NA,NA,"BRACKISHWATER","Crustaceans","Q_tlw",2021,50,"Crustaceans","Miscellaneous marine crustaceans","no"
NA,"World",NA,NA,NA,"BRACKISHWATER","Crustaceans","Q_tlw",2022,50,"Crustaceans","Miscellaneous marine crustaceans","no"
NA,"World",NA,NA,NA,"BRACKISHWATER","Crustaceans","Q_tlw",1992,895781,"Crustaceans","Shrimps, prawns","no"
NA,"World",NA,NA,NA,"BRACKISHWATER","Crustaceans","Q_tlw",1993,832702,"Crustaceans","Shrimps, prawns","no"
NA,"World",NA,NA,NA,"BRACKISHWATER","Crustaceans","Q_tlw",1994,882196,"Crustaceans","Shrimps, prawns","no"
NA,"World",NA,NA,NA,"BRACKISHWATER","Crustaceans","Q_tlw",1995,927915,"Crustaceans","Shrimps, prawns","no"
NA,"World",NA,NA,NA,"BRACKISHWATER","Crustaceans","Q_tlw",1996,917265,"Crustaceans","Shrimps, prawns","no"
NA,"World",NA,NA,NA,"BRACKISHWATER","Crustaceans","Q_tlw",1997,926365,"Crustaceans","Shrimps, prawns","no"
NA,"World",NA,NA,NA,"BRACKISHWATER","Crustaceans","Q_tlw",1998,985911,"Crustaceans","Shrimps, prawns","no"
NA,"World",NA,NA,NA,"BRACKISHWATER","Crustaceans","Q_tlw",1999,1049978,"Crustaceans","Shrimps, prawns","no"
NA,"World",NA,NA,NA,"BRACKISHWATER","Crustaceans","Q_tlw",2000,1136954,"Crustaceans","Shrimps, prawns","no"
NA,"World",NA,NA,NA,"BRACKISHWATER","Crustaceans","Q_tlw",2001,1310689,"Crustaceans","Shrimps, prawns","no"
NA,"World",NA,NA,NA,"BRACKISHWATER","Crustaceans","Q_tlw",2002,1465526.06,"Crustaceans","Shrimps, prawns","no"
NA,"World",NA,NA,NA,"BRACKISHWATER","Crustaceans","Q_tlw",2003,1791138.1,"Crustaceans","Shrimps, prawns","no"
