"ISO3","year","pop","type","value"
"SRB",2013,7164132,"micro per 1000 people",37.67811648361588
"SRB",2013,7164132,"sme per 1000 people",1.523422516503046
"SRB",2013,7164132,"large per 1000 people",0.06825669878779453
"SRB",2013,7164132,"total per 1000 people",39.26979569890672
"SGP",2018,5612253,"micro per 1000 people",NA
"SGP",2018,5612253,"sme per 1000 people",NA
"SGP",2018,5612253,"large per 1000 people",0.2316360292381687
"SGP",2018,5612253,"total per 1000 people",0.2316360292381687
"SVK",2016,5430798,"micro per 1000 people",79.71204231864267
"SVK",2016,5430798,"sme per 1000 people",1.6642121470914588
"SVK",2016,5430798,"large per 1000 people",0.10219492604954189
"SVK",2016,5430798,"total per 1000 people",81.47844939178367
"SVN",2016,2066748,"micro per 1000 people",90.20838534741536
"SVN",2016,2066748,"sme per 1000 people",4.497403650566009
"SVN",2016,2066748,"large per 1000 people",0.16402580285550053
"SVN",2016,2066748,"total per 1000 people",94.86981480083686
"ZAF",2017,56717156,"micro per 1000 people",5.3412410170919005
"ZAF",2017,56717156,"sme per 1000 people",11.316276154608316
"ZAF",2017,56717156,"large per 1000 people",NA
"ZAF",2017,56717156,"total per 1000 people",16.657517171700217
"SSD",2010,10067192,"micro per 1000 people",0.6543036032291825
"SSD",2010,10067192,"sme per 1000 people",0.07211544192263344
"SSD",2010,10067192,"large per 1000 people",0.00198665129263453
"SSD",2010,10067192,"total per 1000 people",0.7284056964444504
"ESP",2016,46572028,"micro per 1000 people",54.51343025044991
"ESP",2016,46572028,"sme per 1000 people",57.21561019417063
"ESP",2016,46572028,"large per 1000 people",0.06838869030998608
"ESP",2016,46572028,"total per 1000 people",111.79742913493052
"LKA",2014,20771000,"micro per 1000 people",45.05011795291512
"LKA",2014,20771000,"sme per 1000 people",3.9252322950267198
"LKA",2014,20771000,"large per 1000 people",0.11621972943045593
"LKA",2014,20771000,"total per 1000 people",49.0915699773723
"LCA",2011,173832,"micro per 1000 people",34.28597726540568
"LCA",2011,173832,"sme per 1000 people",NA
"LCA",2011,173832,"large per 1000 people",0.5522573519259975
