"ISO3","INFORM RISK","RISK CLASS","Rank","HAZARD & EXPOSURE","VULNERABILITY","LACK OF COPING CAPACITY"
"SYC","1.4","Very Low","186","1.2","0.9","2.7"
"SLE","4.2","Medium","61","2.1","5.6","6.3"
"SGP","0.7","Very Low","191","0.6","0.5","1"
"SVK","2.1","Very Low","161","1.3","3","2.4"
"SVN","2","Very Low","164","1.7","2.8","1.7"
"SLB","4.5","Medium","50","3.2","4.5999999999999996","6.3"
"SOM","8.9","Very High","1","8.9","9.3000000000000007","8.5"
"ZAF","4","Medium","71","3.7","4.3","4.0999999999999996"
"SSD","8.3000000000000007","Very High","2","6.9","8.9","9.3000000000000007"
"ESP","2.4","Low","144","2.5","3.1","1.8"
"LKA","2.9","Low","115","2.2999999999999998","2.7","4.0999999999999996"
"SDN","7.4","Very High","8","8.3000000000000007","7.4","6.7"
"SUR","3.1","Low","103","1.8","3","5.3"
"SWE","1.9","Very Low","169","1.4","2.9","1.6"
"CHE","1.5","Very Low","183","1.3","2.9","0.9"
"SYR","7","Very High","14","8.3000000000000007","7.7","5.4"
"TJK","3.9","Medium","75","3.1","3.7","5.0999999999999996"
"TZA","4.3","Medium","56","2.5","5.5","5.8"
"THA","4.4000000000000004","Medium","51","6.1","3.7","3.9"
"TLS","3.6","Medium","86","1.9","4.3","5.6"
"TGO","5.6","High","28","4.5999999999999996","5.0999999999999996","7.4"
"TON","3.3","Medium","96","2.1","4.0999999999999996","4.2"
"TTO","2.8","Low","123","2","3.2","3.4"
"TUN","3.2","Medium","99","2.9","2.4","4.7"
"TUR","4.9000000000000004","Medium","42","7.1","5.3","3.2"
"TKM","3.1","Low","103","2.6","1.8","6.1"
"TUV","2.7","Low","126","1.3","3.6","4.4000000000000004"
"UGA","6.5","High","18","5.8","6.8","6.9"
"UKR","6","High","23","8.1","6","4.5"
"ARE","1.6","Very Low","180","2.5","1","1.7"
"GBR","2","Very Low","164","1.9","2.8","1.6"
"USA","3","Low","109","4.4000000000000004","3.2","2"
"URY","2.2999999999999998","Low","152","1.3","3.9","2.5"
"UZB","3","Low","109","2.9","2.7","3.6"
"VUT","4.0999999999999996","Medium","65","2.9","4.3","5.5"
"VEN","5.6","High","28","5.5","6.4","5"
"VNM","3.7","Medium","79","4.5999999999999996","2.7","4"
"YEM","8","Very High","4","7.8","8.4","7.9"
"ZMB","4","Medium","71","1.7","6.6","5.6"
"ZWE","4.4000000000000004","Medium","51","2.2999999999999998","6.2","5.8"
